# Progression simulation
# runs=8000 seed=12345 moveCap=1000 manualProxy=Rand
# Purchases:
Run	Label	Cost	ChipsAfter	TotalEarnedAfter
7800	480276898	64480	538515098	Combo	3728	144	256	
7820	481783823	160012	540022023	Combo	5859	147	512	
7840	483264433	60036	541502633	Combo	3940	133	256	
7860	484780768	60383	543018968	Combo	3706	149	256	
7880	486434141	24559	544672341	Combo	2832	118	128	
7900	487774362	174474	546012562	Combo	6568	196	512	
7920	489361874	40498	547600074	Combo	2964	152	128	
7940	490818691	56968	549056891	Combo	3129	138	256	
7960	492616034	172535	550854234	Combo	6134	159	512	
7980	494171477	97323	552409677	Combo	4685	202	256	
8000	495507252	61121	553745452	Combo	3315	116	256	
